Timestamp,mean_temp_cor,year,month,day,timestep
2001-09-28,9.600000381469727,2001,9,28,270
2001-09-29,8.300000190734863,2001,9,29,271
2001-09-30,6.300000190734863,2001,9,30,272
2001-10-01,6.300000190734863,2001,10,1,273
2001-10-02,13.100000381469727,2001,10,2,274
2001-10-03,13.5,2001,10,3,275
2001-10-04,12.699999809265137,2001,10,4,276
2001-10-05,12.199999809265137,2001,10,5,277
2001-10-06,10.300000190734863,2001,10,6,278
2001-10-07,9.40000057220459,2001,10,7,279
2001-10-08,12.100000381469727,2001,10,8,280
2001-10-09,13.5,2001,10,9,281
2001-10-10,11.800000190734863,2001,10,10,282
2001-10-11,10.699999809265137,2001,10,11,283
2001-10-12,11.300000190734863,2001,10,12,284
2001-10-13,13.300000190734863,2001,10,13,285
2001-10-14,11.40000057220459,2001,10,14,286
2001-10-15,11.90000057220459,2001,10,15,287
2001-10-16,8.90000057220459,2001,10,16,288
2001-10-17,8.90000057220459,2001,10,17,289
2001-10-18,11.0,2001,10,18,290
2001-10-19,10.40000057220459,2001,10,19,291
2001-10-20,7.099999904632568,2001,10,20,292
2001-10-21,4.0,2001,10,21,293
2001-10-22,3.0,2001,10,22,294
2001-10-23,3.200000047683716,2001,10,23,295
2001-10-24,2.4000000953674316,2001,10,24,296
2001-10-25,0.20000000298023224,2001,10,25,297
2001-10-26,1.8000000715255737,2001,10,26,298
2001-10-27,8.199999809265137,2001,10,27,299
2001-10-28,8.40000057220459,2001,10,28,300
2001-10-29,8.0,2001,10,29,301
2001-10-30,7.800000190734863,2001,10,30,302
2001-10-31,8.699999809265137,2001,10,31,303
2001-11-01,7.099999904632568,2001,11,1,304
2001-11-02,4.800000190734863,2001,11,2,305
2001-11-03,7.099999904632568,2001,11,3,306
2001-11-04,8.100000381469727,2001,11,4,307
2001-11-05,5.599999904632568,2001,11,5,308
2001-11-06,2.5,2001,11,6,309
2001-11-07,4.700000286102295,2001,11,7,310
2001-11-08,2.799999952316284,2001,11,8,311
2001-11-09,2.799999952316284,2001,11,9,312
2001-11-10,2.200000047683716,2001,11,10,313
2001-11-11,5.800000190734863,2001,11,11,314
2001-11-12,3.700000047683716,2001,11,12,315
2001-11-13,1.0,2001,11,13,316
2001-11-14,1.2000000476837158,2001,11,14,317
2001-11-15,1.100000023841858,2001,11,15,318
2001-11-16,2.6000001430511475,2001,11,16,319
2001-11-17,2.200000047683716,2001,11,17,320
2001-11-18,4.900000095367432,2001,11,18,321
2001-11-19,1.600000023841858,2001,11,19,322
2001-11-20,-2.6000001430511475,2001,11,20,323
2001-11-21,-4.800000190734863,2001,11,21,324
2001-11-22,0.10000000149011612,2001,11,22,325
2001-11-23,0.6000000238418579,2001,11,23,326
2001-11-24,-2.9000000953674316,2001,11,24,327
2001-11-25,-4.800000190734863,2001,11,25,328
2001-11-26,-3.799999952316284,2001,11,26,329
2001-11-27,-0.10000000149011612,2001,11,27,330
2001-11-28,0.9000000357627869,2001,11,28,331
2001-11-29,1.100000023841858,2001,11,29,332
2001-11-30,-0.4000000059604645,2001,11,30,333
2001-12-01,-5.5,2001,12,1,334
